"","Popularity","Explicit","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time.Signature","Release.Year","genreSimplified"
"2792",58,"false",0.64,0.899,1,-3.362,0,0.0786,0.000944,3.42e-06,0.0686,0.63,159.958,4,2023,"Pop"
"2793",76,"false",0.82,0.575,7,-9.144,1,0.0408,0.0936,0.000135,0.109,0.964,123.765,4,1972,"Rock"
"2794",67,"false",0.745,0.742,10,-5.693,1,0.0259,0.42,0,0.102,0.806,95.996,4,1999,"Pop"
"2795",4,"false",0.885,0.581,11,-8.813,1,0.0378,0.427,0.000204,0.0759,0.728,114.016,4,2014,"Both"
"2797",41,"false",0.59,0.45,4,-12.599,1,0.0325,0.0519,0.000851,0.0894,0.57,157.016,4,1990,"Rock"
"2798",47,"false",0.81,0.828,6,-4.14,1,0.117,0.153,1.23e-06,0.0852,0.87,125.921,4,2012,"Pop"
"2799",64,"false",0.35,0.775,11,-3.364,1,0.054,0.00433,0.283,0.0676,0.588,199.866,4,2011,"Rock"
"2802",10,"false",0.605,0.498,2,-12.005,0,0.0315,0.288,0.147,0.0812,0.665,92.001,4,1971,"Other"
"2803",31,"false",0.622,0.568,10,-9.785,1,0.0393,0.802,0,0.221,0.848,109.097,4,1999,"Pop"
"2809",68,"false",0.663,0.546,5,-5.234,1,0.0269,0.0322,0.000572,0.107,0.656,88.171,4,2003,"Rock"
"2812",6,"false",0.808,0.897,11,-3.712,0,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,4,2021,"Pop"
"2814",48,"false",0.703,0.728,7,-4.011,0,0.0353,0.266,0,0.355,0.696,116.004,4,2017,"Pop"
"2816",32,"false",0.539,0.914,9,-5.786,0,0.0345,0.00219,0.0806,0.199,0.432,141.349,4,2012,"Other"
"2818",37,"false",0.464,0.525,2,-13.806,1,0.0566,0.192,7.23e-06,0.268,0.565,178.352,4,1987,"Rock"
"2821",48,"false",0.362,0.669,4,-5.793,0,0.0286,0.111,0,0.111,0.432,185.843,4,2004,"Rock"
"2822",70,"false",0.654,0.652,7,-9.304,0,0.0426,0.13,1.49e-05,0.202,0.846,115.389,4,1976,"Other"
"2823",43,"false",0.558,0.526,9,-7.545,0,0.0419,0.672,4.81e-06,0.117,0.829,168.393,4,2003,"Rock"
"2827",22,"false",0.755,0.937,8,-3.04,1,0.0719,0.0425,0.121,0.0561,0.776,133.972,4,2007,"Pop"
"2829",28,"false",0.406,0.8,8,-4.444,1,0.204,0.0152,0,0.16,0.317,166.208,4,2017,"Other"
"2830",26,"false",0.665,0.776,0,-3.693,1,0.0493,0.0117,0,0.156,0.81,117.962,4,2012,"Pop"
"2831",59,"false",0.671,0.808,2,-4.861,0,0.0652,0.02,0,0.134,0.637,121.956,4,2011,"Pop"
"2832",30,"false",0.763,0.674,11,-5.842,1,0.0365,0.338,2.02e-06,0.0952,0.939,131.338,4,1996,"Other"
"2833",8,"false",0.585,0.612,5,-4.721,0,0.0789,0.247,1.46e-05,0.0474,0.767,204.107,4,2020,"Pop"
"2834",43,"false",0.573,0.886,7,-5.206,1,0.0459,0.0914,4.41e-05,0.0718,0.682,119.829,4,2010,"Rock"
"2836",6,"false",0.787,0.728,0,-7.705,1,0.218,0.0124,0,0.157,0.94,173.026,4,2010,"Other"
"2837",71,"false",0.395,0.843,8,-4.476,1,0.0374,0.00483,0,0.0404,0.481,112.423,4,1998,"Both"
"2839",6,"false",0.577,0.676,8,-11.931,1,0.0295,0.000895,2.29e-06,0.0625,0.676,95.98,4,1988,"Rock"
"2840",60,"false",0.734,0.828,6,-4.433,0,0.033,0.398,0.0225,0.136,0.717,127.023,4,2020,"Other"
"2841",51,"false",0.549,0.859,5,-3.993,1,0.0361,0.0964,2.36e-05,0.322,0.69,77.013,4,2007,"Rock"
"2842",78,"false",0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,4,2017,"Pop"
"2845",16,"false",0.534,0.75,7,-4.886,1,0.0386,0.00121,0,0.0772,0.265,131.967,4,2011,"Other"
"2846",56,"true",0.592,0.907,7,-3.651,1,0.0541,0.000428,2.09e-05,0.0681,0.919,135.674,4,2001,"Rock"
"2848",62,"false",0.526,0.52,6,-7.985,0,0.0569,0.435,0,0.197,0.13,149.119,4,2017,"Pop"
"2849",42,"false",0.695,0.691,5,-4.73,0,0.0351,0.147,2.21e-06,0.152,0.563,104.015,4,2019,"Other"
"2850",22,"false",0.701,0.82,2,-7.117,1,0.136,0.0299,3.69e-06,0.148,0.655,87.913,4,2004,"Pop"
"2852",55,"false",0.643,0.729,0,-10.231,1,0.0297,0.674,7.99e-06,0.173,0.963,135.29,4,1977,"Rock"
"2853",40,"false",0.636,0.868,11,-6.673,0,0.0414,0.238,0,0.0649,0.49,103.005,4,1999,"Other"
"2854",45,"false",0.61,0.44,0,-7.864,1,0.0256,0.564,0.000897,0.0923,0.168,79.002,4,2008,"Both"
"2856",27,"false",0.606,0.344,1,-9.944,1,0.0403,0.782,0,0.132,0.517,80.829,4,2007,"Rock"
"2857",77,"false",0.332,0.214,4,-12.518,1,0.0349,0.845,5.62e-06,0.0839,0.11,67.531,4,1992,"Pop"
"2858",66,"true",0.613,0.624,11,-6.66,0,0.206,0.496,0,0.283,0.803,62.948,5,2020,"Other"
"2859",36,"false",0.735,0.804,6,-6.476,0,0.0347,0.0145,0,0.0716,0.539,130.018,4,1994,"Both"
"2860",64,"false",0.579,0.776,8,-5.365,1,0.173,0.0749,0,0.239,0.434,136.044,4,2014,"Both"
"2861",30,"false",0.646,0.487,7,-8.262,1,0.0404,0.16,0,0.155,0.221,126.931,4,2021,"Pop"
"2862",4,"false",0.283,0.7,0,-11.605,1,0.0756,0.873,0,0.179,0.896,200.632,4,1958,"Other"
"2864",66,"false",0.578,0.836,2,-6.607,1,0.0512,0.163,1.36e-06,0.0583,0.932,167.026,4,1988,"Rock"
"2865",64,"false",0.53,0.612,7,-4.286,1,0.0331,0.0403,0,0.393,0.264,148.009,3,2022,"Pop"
"2866",76,"false",0.564,0.774,1,-9.424,1,0.0368,0.0135,0.00191,0.0861,0.657,100.894,4,1987,"Rock"
"2867",67,"false",0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,4,2018,"Pop"
"2870",71,"false",0.27,0.944,4,-4.199,1,0.0975,0.00501,2.05e-05,0.116,0.606,146.347,4,1975,"Rock"
"2871",48,"true",0.501,0.474,3,-6.429,1,0.0249,0.458,0,0.0857,0.262,135.932,4,2017,"Other"
"2872",55,"false",0.658,0.963,1,-3.283,0,0.0326,0.00283,2.38e-06,0.951,0.793,134.798,4,2007,"Pop"
"2873",40,"false",0.717,0.564,6,-7.752,0,0.0551,0.0452,0.000464,0.0897,0.728,85.996,4,1997,"Pop"
"2874",39,"false",0.586,0.755,4,-7.378,1,0.0341,0.0601,7.77e-05,0.1,0.963,119.634,4,2001,"Both"
"2875",65,"false",0.546,0.649,6,-4.056,1,0.0324,0.143,1.55e-05,0.0894,0.298,99.05,4,2011,"Pop"
"2876",41,"false",0.395,0.648,9,-7.372,1,0.027,0.0407,8.25e-05,0.0868,0.246,80.286,4,1999,"Rock"
"2877",59,"false",0.621,0.788,4,-4.326,1,0.0314,0.354,0,0.305,0.926,129.62,4,1975,"Rock"
"2878",50,"false",0.615,0.701,0,-4.257,1,0.0472,0.00302,0,0.0471,0.251,98.073,4,2021,"Pop"
"2879",64,"false",0.712,0.82,4,-6.624,0,0.0382,0.00226,0.359,0.1,0.322,128.005,4,2023,"Pop"
"2880",32,"false",0.525,0.121,0,-19.451,1,0.029,0.859,5.98e-06,0.191,0.631,107.408,4,2007,"Other"
"2882",81,"false",0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,4,2015,"Pop"
"2883",67,"false",0.626,0.565,9,-10.027,1,0.0271,0.124,0,0.0811,0.924,116.61,4,1972,"Both"
"2884",31,"false",0.503,0.659,0,-6.829,1,0.0356,0.443,0,0.153,0.33,101.668,4,2010,"Other"
"2885",13,"false",0.515,0.469,5,-6.588,1,0.0299,0.158,7.28e-05,0.138,0.171,119.974,3,2014,"Pop"
"2886",58,"false",0.264,0.32,9,-11.716,1,0.0325,0.885,0.00141,0.134,0.171,138.108,3,1974,"Both"
"2888",46,"false",0.653,0.794,7,-3.828,1,0.0894,0.121,0,0.365,0.645,93.008,4,2016,"Pop"
"2889",19,"false",0.452,0.876,6,-3.83,0,0.0518,0.0501,1.58e-05,0.309,0.275,125.994,4,2013,"Pop"
"2890",68,"false",0.375,0.93,2,-2.631,1,0.0561,0.00064,0,0.318,0.491,147.124,4,2017,"Pop"
"2891",57,"false",0.528,0.886,11,-6.249,0,0.0329,0.0159,0,0.0758,0.8,96.001,4,2010,"Other"
"2892",68,"false",0.635,0.686,9,-15.648,1,0.053,0.209,0.0176,0.282,0.464,125.988,4,1974,"Rock"
"2893",7,"false",0.689,0.811,7,-4.708,1,0.0264,0.00288,0,0.207,0.47,123.008,4,2009,"Pop"
"2895",46,"false",0.626,0.968,11,-6.014,0,0.0462,0.0205,0,0.321,0.176,128.969,4,2009,"Pop"
"2896",58,"false",0.81,0.571,10,-7.189,0,0.085,0.0624,1.63e-06,0.094,0.771,125.994,4,2021,"Pop"
"2897",23,"false",0.241,0.942,2,-5.534,1,0.171,0.211,0,0.5,0.182,140.714,4,2002,"Rock"
"2898",16,"false",0.372,0.855,6,-5.068,1,0.239,0.00221,0,0.661,0.378,186.105,4,2014,"Pop"
"2901",33,"false",0.622,0.887,10,-4.321,1,0.0626,0.102,0,0.368,0.907,170.854,4,2003,"Rock"
"2903",48,"false",0.495,0.443,7,-9.905,0,0.0265,0.454,9.26e-05,0.104,0.337,83.232,4,2003,"Both"
"2904",70,"false",0.502,0.924,4,-6.299,1,0.0503,0.0127,0,0.162,0.922,149.186,4,1984,"Rock"
"2905",37,"false",0.61,0.822,4,-8.288,1,0.0365,0.0183,0,0.256,0.722,105.251,4,1992,"Rock"
"2906",33,"false",0.761,0.775,0,-6.834,1,0.0318,0.367,0,0.0937,0.946,115.524,4,2007,"Other"
"2908",68,"false",0.756,0.8,5,-5.158,1,0.0329,0.211,0.000724,0.0466,0.967,118.924,4,1989,"Other"
"2909",79,"false",0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,4,2019,"Pop"
"2910",23,"false",0.669,0.733,5,-10.495,1,0.0494,0.0205,0.000224,0.042,0.833,153.778,4,2005,"Pop"
"2911",61,"false",0.766,0.5,11,-7.558,1,0.0695,0.719,5.91e-06,0.304,0.71,84.044,4,2016,"Pop"
"2912",40,"false",0.601,0.419,9,-10.59,1,0.0325,0.51,0.000732,0.141,0.478,133.205,4,2014,"Other"
"2913",67,"false",0.297,0.825,2,-3.771,1,0.0394,0.464,0.0833,0.354,0.123,150.339,4,1995,"Both"
"2914",37,"false",0.545,0.197,4,-16.743,1,0.0285,0.646,0,0.291,0.338,102.229,4,1960,"Both"
"2915",41,"false",0.562,0.857,5,-5.173,1,0.0589,0.00303,2.23e-06,0.284,0.759,96.231,4,2013,"Both"
"2916",12,"false",0.656,0.66,2,-10.4,1,0.0432,0.268,0.00108,0.133,0.692,97.158,4,2020,"Rock"
"2917",58,"false",0.479,0.733,0,-8.753,1,0.0257,0.306,2.4e-05,0.414,0.806,99.313,4,1967,"Rock"
"2918",63,"true",0.781,0.526,6,-6.985,0,0.293,0.0619,0,0.0457,0.662,94.992,4,2012,"Pop"
"2920",50,"false",0.553,0.662,8,-6.454,0,0.129,0.342,0,0.141,0.561,98.368,4,2015,"Other"
"2921",31,"false",0.783,0.543,9,-11.565,1,0.0412,0.303,0.0159,0.0892,0.833,132.035,4,1993,"Both"
"2923",22,"false",0.476,0.979,8,-2.054,1,0.0571,0.000124,7.9e-06,0.295,0.572,142.033,4,2007,"Rock"
"2924",38,"false",0.663,0.877,5,-3.37,0,0.0538,0.00318,0.00217,0.124,0.388,135.989,4,2010,"Pop"
"2926",49,"false",0.663,0.753,0,-7.061,1,0.0381,0.175,0,0.105,0.483,94.061,4,1998,"Pop"
"2927",74,"false",0.851,0.551,4,-5.177,1,0.0396,0.151,0,0.0827,0.807,131.922,4,1988,"Rock"
"2928",75,"false",0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003,4,2023,"Pop"
"2931",78,"false",0.633,0.8,1,-6.945,1,0.166,0.209,0.000123,0.137,0.913,175.716,4,1999,"Pop"
"2932",38,"false",0.802,0.962,8,-7.28,1,0.0414,0.00367,0.079,0.312,0.966,127.035,4,1994,"Other"
"2933",58,"false",0.603,0.627,2,-16.011,1,0.0299,0.113,0.000103,0.159,0.701,129.617,4,1977,"Rock"
"2934",57,"false",0.781,0.851,4,-5.748,0,0.0319,0.0143,0.00458,0.0709,0.865,135.106,4,2022,"Other"
"2935",68,"false",0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,4,2010,"Pop"
"2936",47,"false",0.7,0.528,4,-12.176,1,0.073,0.191,0,0.213,0.934,121.336,4,1978,"Rock"
"2938",79,"false",0.674,0.628,2,-7.079,1,0.03,0.00144,0,0.0944,0.552,103.998,4,2012,"Pop"
"2940",3,"false",0.155,0.298,0,-13.805,1,0.0307,0.431,5.07e-05,0.214,0.296,91.058,3,1970,"Rock"
"2941",76,"false",0.48,0.542,0,-8.51,1,0.0348,0.345,0.000609,0.113,0.567,152.853,4,1970,"Rock"
"2943",29,"false",0.641,0.498,9,-8.244,0,0.0343,0.707,0,0.666,0.741,126.24,4,1963,"Both"
"2944",11,"false",0.605,0.433,1,-10.425,1,0.0314,0.733,0,0.06,0.844,134.726,4,1993,"Both"
"2949",84,"false",0.324,0.416,11,-8.92,0,0.0368,0.262,3.69e-05,0.11,0.151,113.986,4,2013,"Pop"
"2951",52,"false",0.377,0.904,4,-3.634,0,0.307,0.0747,0,0.334,0.595,200.566,4,2003,"Pop"
"2953",78,"false",0.597,0.45,8,-6.658,1,0.0418,0.223,0,0.382,0.537,178.765,3,2020,"Pop"
"2954",13,"false",0.717,0.989,9,-4.675,1,0.0293,0.158,5.06e-05,0.272,0.737,129.006,4,2022,"Pop"
"2955",30,"false",0.477,0.788,10,-5.472,1,0.0824,0.409,0,0.194,0.379,138.21,4,2016,"Pop"
"2956",70,"false",0.6,0.725,6,-4.866,1,0.0487,0.0933,1.87e-06,0.12,0.506,102.056,4,2018,"Pop"
"2957",27,"false",0.414,0.613,1,-4.641,0,0.0312,0.244,0,0.0701,0.326,78.252,4,2001,"Both"
"2960",38,"false",0.695,0.499,1,-9.201,1,0.218,0.702,5.85e-05,0.154,0.78,175.896,4,1995,"Other"
"2962",75,"false",0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,4,2020,"Pop"
"2963",51,"false",0.575,0.843,2,-5.931,1,0.0584,0.239,5.16e-06,0.0764,0.858,128.169,4,2000,"Other"
"2965",58,"false",0.583,0.435,8,-8.784,1,0.0386,0.434,5.49e-05,0.102,0.292,72.01,4,1999,"Other"
"2966",1,"false",0.834,0.696,5,-3.224,1,0.197,0.11,0,0.13,0.804,94.09,4,2003,"Pop"
"2967",30,"false",0.745,0.835,6,-10.961,0,0.0346,0.014,0.113,0.139,0.936,113.897,4,1969,"Other"
"2968",2,"false",0.48,0.536,2,-11.166,1,0.0427,0.488,4.22e-05,0.155,0.581,80.617,3,1975,"Rock"
"2970",3,"true",0.922,0.581,10,-7.495,1,0.27,0.00104,5.86e-05,0.105,0.595,140.022,4,2018,"Pop"
"2971",62,"false",0.741,0.759,0,-5.096,0,0.12,0.0218,0,0.628,0.362,97.084,4,2005,"Pop"
"2972",66,"false",0.724,0.436,0,-9.321,1,0.0282,0.576,1.19e-06,0.0908,0.324,130.439,4,2014,"Both"
"2975",1,"true",0.781,0.526,6,-6.985,0,0.293,0.0619,0,0.0457,0.662,94.992,4,2012,"Pop"
"2976",56,"false",0.687,0.771,6,-4.424,1,0.0384,0.164,2.46e-05,0.112,0.445,129.964,4,2008,"Pop"
"2977",33,"false",0.56,0.648,5,-12.29,1,0.0282,0.195,0.00158,0.196,0.961,132.402,4,1970,"Rock"
"2978",24,"false",0.644,0.946,5,-7.74,0,0.0565,0.0512,0,0.479,0.819,140.008,4,2010,"Other"
"2979",37,"false",0.465,0.408,9,-12.854,1,0.0334,0.318,0,0.255,0.371,78.965,4,1980,"Rock"
"2980",40,"false",0.74,0.852,7,-8.051,1,0.0328,0.0305,1.8e-06,0.0778,0.963,135.035,4,2001,"Other"
"2982",2,"false",0.411,0.667,0,-8.88,1,0.0403,0.199,0.552,0.21,0.522,143.951,4,2012,"Other"
"2983",17,"true",0.545,0.728,10,-6.172,1,0.0664,0.00896,0,0.294,0.22,151.915,4,2021,"Other"
"2986",56,"false",0.739,0.75,0,-4.513,0,0.0278,0.205,0,0.157,0.758,109.983,4,2000,"Pop"
"2988",72,"false",0.253,0.803,7,-3.977,1,0.0392,0.129,0.0146,0.309,0.258,150.036,4,1986,"Rock"
"2989",57,"false",0.595,0.759,11,-4.245,0,0.0423,0.141,0,0.172,0.515,80.953,4,2021,"Pop"
"2990",68,"false",0.65,0.82,5,-10.9,0,0.0356,0.0662,0.00272,0.215,0.757,135.982,4,1995,"Other"
"2991",53,"false",0.605,0.77,5,-3.645,0,0.0446,0.0431,0,0.159,0.298,130.037,4,2016,"Pop"
"2992",71,"false",0.614,0.934,9,-3.709,0,0.07,0.0697,0,0.121,0.436,116.001,4,2020,"Pop"
"2993",39,"false",0.416,0.726,6,-5.254,1,0.0573,0.687,0,0.27,0.895,182.219,4,1963,"Other"
"2994",69,"false",0.622,0.829,2,-5.548,1,0.029,0.11,0,0.0954,0.539,110.367,4,1995,"Both"
"2995",58,"false",0.588,0.656,3,-6.373,1,0.0224,0.378,0.00227,0.042,0.746,79.701,4,1980,"Rock"
"2997",66,"false",0.426,0.687,11,-6.926,0,0.0329,0.409,0,0.112,0.189,84.141,4,1991,"Rock"
"2998",82,"false",0.678,0.484,5,-5.795,1,0.0361,0.529,2.01e-05,0.0766,0.493,82.004,4,2014,"Pop"
"2999",59,"false",0.564,0.593,9,-9.245,1,0.0328,0.732,0.00366,0.343,0.766,120.753,4,1973,"Other"
"3001",51,"false",0.422,0.411,7,-9.004,1,0.0257,0.111,0.00113,0.324,0.393,82.737,4,1984,"Rock"
"3002",50,"false",0.717,0.84,11,-12.781,1,0.104,0.00785,5.94e-06,0.296,0.788,103.043,4,1986,"Both"
"3003",38,"false",0.707,0.706,8,-5.984,1,0.0418,0.149,6.01e-05,0.113,0.469,97.997,4,2017,"Other"
"3004",18,"false",0.638,0.818,8,-9.212,1,0.132,0.0386,0.159,0.118,0.922,82.289,4,2012,"Pop"
"3006",1,"false",0.57,0.79,6,-6.365,1,0.0676,0.513,0,0.168,0.906,156.698,4,2011,"Rock"
"3007",19,"false",0.359,0.896,4,-6.284,0,0.135,0.01,0.0562,0.345,0.263,174.128,4,2009,"Rock"
"3008",36,"false",0.513,0.849,7,-2.179,1,0.209,0.332,0,0.349,0.584,171.887,4,2014,"Pop"
"3009",77,"false",0.887,0.48,11,-11.994,1,0.117,0.0094,3.58e-05,0.0662,0.607,95.846,4,1987,"Both"
"3010",62,"false",0.735,0.64,10,-7.522,0,0.072,0.052,0.00102,0.345,0.551,104.444,4,1996,"Both"
"3011",21,"false",0.388,0.464,1,-6.907,0,0.0298,0.332,0,0.108,0.126,125.099,4,2014,"Pop"
"3012",19,"false",0.446,0.448,11,-12.841,0,0.0321,0.0193,0,0.1,0.411,78.12,4,1972,"Other"
"3013",77,"false",0.626,0.79,2,-4.302,1,0.0311,0.135,3.97e-06,0.0989,0.416,119.082,4,2021,"Pop"
"3015",29,"false",0.402,0.647,7,-6.38,0,0.0273,0.00299,0,0.13,0.363,79.941,3,2001,"Rock"
"3017",15,"false",0.831,0.845,11,-3.475,0,0.0805,0.00112,0.00455,0.671,0.608,128.057,4,2010,"Pop"
"3018",59,"false",0.714,0.528,6,-8.789,1,0.0692,0.00415,0.854,0.0819,0.297,139.983,4,2006,"Other"
"3020",56,"false",0.625,0.563,9,-6.506,0,0.0387,0.437,5.05e-06,0.175,0.364,120.023,4,2000,"Pop"
"3023",38,"false",0.502,0.765,0,-3.672,0,0.0476,0.0138,0,0.515,0.805,162.097,4,2020,"Both"
"3024",61,"false",0.564,0.911,2,-5.39,1,0.0536,0.159,4.36e-05,0.118,0.582,173.938,4,2002,"Both"
"3025",41,"false",0.714,0.706,1,-9.144,1,0.0727,0.0946,0,0.7,0.812,124.036,4,2018,"Pop"
"3026",9,"false",0.543,0.604,2,-7.665,1,0.0307,0.152,0,0.0771,0.666,93.491,4,2004,"Rock"
"3027",60,"false",0.56,0.473,5,-7.23,1,0.0533,0.618,0,0.31,0.441,109.414,4,2022,"Pop"
"3028",8,"false",0.644,0.9,7,-3.822,1,0.124,0.138,0,0.312,0.657,129.986,4,2011,"Other"
"3031",49,"false",0.692,0.875,2,-4.528,1,0.0345,0.289,3.22e-05,0.0675,0.9,131.88,4,2009,"Pop"
"3032",54,"false",0.629,0.356,4,-11.135,1,0.0246,0.66,0.000617,0.173,0.472,83.886,4,1973,"Rock"
"3035",11,"false",0.736,0.563,2,-13.837,1,0.0312,0.0165,0,0.166,0.96,102.021,4,2012,"Other"
"3036",56,"true",0.689,0.586,6,-7.61,1,0.107,0.241,0,0.356,0.611,93.02,4,2017,"Both"
"3037",54,"false",0.499,0.899,0,-3.994,1,0.0382,2.19e-05,0.174,0.651,0.449,156.017,4,2008,"Rock"
"3038",66,"false",0.683,0.585,8,-6.76,1,0.0323,0.00819,0.0162,0.0797,0.641,115.997,4,2009,"Rock"
"3039",52,"false",0.467,0.848,9,-3.063,0,0.0716,0.0617,0,0.29,0.674,170.036,4,2005,"Pop"
"3040",68,"false",0.727,0.681,5,-7.114,0,0.0265,0.00214,0.000307,0.0861,0.448,123.028,4,2017,"Other"
"3041",61,"false",0.541,0.776,2,-8.042,1,0.0298,0.00147,0.000221,0.178,0.282,98.986,4,1999,"Rock"
"3042",43,"false",0.658,0.438,2,-7.089,0,0.0645,0.356,2.61e-05,0.329,0.151,121.888,3,2002,"Pop"
"3043",1,"false",0.486,0.792,2,-6.676,1,0.0831,0.463,2.15e-06,0.111,0.752,149.377,4,2003,"Other"
"3045",53,"false",0.618,0.467,2,-13.166,1,0.0336,0.56,1.05e-05,0.5,0.904,121.646,4,1963,"Rock"
"3048",72,"false",0.596,0.73,9,-4.091,1,0.151,0.24,0,0.325,0.525,85.979,4,2014,"Pop"
"3049",50,"false",0.317,0.464,6,-7.37,1,0.0274,0.429,1.27e-06,0.103,0.414,159.906,3,2014,"Both"
"3051",60,"false",0.826,0.593,6,-6.401,0,0.0976,0.688,0.000161,0.17,0.541,98.083,4,2019,"Pop"
"3054",68,"false",0.742,0.527,8,-6.892,0,0.0769,0.327,0,0.25,0.638,84.974,4,2022,"Other"
"3055",4,"false",0.253,0.368,1,-16.336,1,0.0298,0.539,0,0.32,0.758,174.071,4,1968,"Pop"
"3057",38,"false",0.739,0.541,1,-5.485,1,0.0311,0.559,0,0.0492,0.31,134.196,4,2001,"Pop"
"3058",57,"false",0.285,0.462,5,-6.166,0,0.0291,0.428,5.61e-06,0.122,0.0923,142.365,4,2007,"Pop"
"3059",61,"false",0.619,0.459,7,-5.782,0,0.0334,0.56,0,0.137,0.498,126.803,4,2019,"Pop"
"3060",41,"false",0.574,0.968,5,-4.459,0,0.189,0.0925,1.25e-05,0.119,0.546,132.027,4,1974,"Rock"
"3061",43,"false",0.614,0.605,0,-5.411,1,0.0321,0.226,0,0.124,0.329,127.107,4,2019,"Pop"
"3062",31,"false",0.349,0.338,0,-7.793,1,0.0292,0.62,0.00799,0.128,0.391,182.842,3,2017,"Other"
"3063",41,"false",0.551,0.67,7,-6.588,1,0.0303,0.0813,0,0.711,0.38,96.938,4,1998,"Both"
"3064",39,"false",0.209,0.872,9,-2.996,1,0.0757,0.217,0,0.0768,0.294,78.139,4,2009,"Pop"
"3067",63,"false",0.612,0.6,9,-10.945,1,0.0327,0.15,3.04e-06,0.222,0.471,111.203,4,1985,"Pop"
"3068",43,"false",0.682,0.7,5,-5.541,0,0.0531,0.101,0,0.104,0.152,111.003,4,2014,"Other"
"3069",80,"false",0.76,0.478,2,-5.574,1,0.0467,0.552,0,0.0703,0.913,89.908,4,2018,"Pop"
"3070",30,"false",0.605,0.645,7,-3.564,1,0.0397,0.236,0,0.0917,0.15,76.956,3,2015,"Pop"
"3071",54,"false",0.648,0.722,0,-4.813,0,0.0427,0.0103,0,0.24,0.389,132.973,4,2011,"Pop"
"3072",58,"true",0.523,0.795,4,-2.92,1,0.0386,0.00462,0,0.358,0.484,144.106,4,2004,"Pop"
"3073",3,"false",0.735,0.824,10,-4.143,0,0.036,0.615,0,0.158,0.726,100.202,4,2002,"Pop"
"3075",68,"false",0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,2014,"Both"
"3076",38,"false",0.524,0.526,0,-9.788,1,0.0299,0.189,2.17e-06,0.288,0.78,148.053,4,2020,"Other"
"3077",82,"true",0.743,0.752,4,-4.813,1,0.0414,0.0188,0,0.287,0.545,110.015,4,2012,"Pop"
"3078",48,"false",0.811,0.512,2,-6.381,1,0.17,0.218,0.0262,0.0767,0.346,92.047,4,2020,"Pop"
"3080",52,"false",0.358,0.893,4,-7.486,0,0.12,0.0222,0.0524,0.126,0.262,174.238,4,1989,"Rock"
"3081",15,"false",0.633,0.717,7,-6.367,1,0.0306,0.458,0,0.059,0.937,115.205,4,2016,"Both"
"3082",24,"false",0.567,0.527,1,-7.898,1,0.0299,0.383,0,0.0856,0.27,128.264,4,2015,"Pop"
"3083",19,"false",0.674,0.719,5,-11.526,1,0.0567,0.727,0.000129,0.0937,0.773,141.007,4,1988,"Other"
"3085",75,"false",0.592,0.355,9,-14.051,1,0.0352,0.478,0,0.0585,0.499,133.032,4,1968,"Other"
"3086",78,"false",0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,4,2021,"Pop"
"3087",12,"false",0.72,0.841,9,-6.373,1,0.034,0.000354,0.0112,0.338,0.767,130.978,4,2005,"Other"
"3088",1,"false",0.577,0.741,6,-3.83,0,0.0501,0.298,0,0.142,0.581,128.081,4,2015,"Pop"
"3090",6,"false",0.571,0.525,6,-8.164,0,0.0289,0.712,0.022,0.0398,0.964,109.87,4,2013,"Other"
"3092",78,"false",0.584,0.54,1,-7.786,0,0.0576,0.0895,0,0.261,0.195,137.972,4,2017,"Pop"
"3093",27,"false",0.776,0.553,0,-12.46,1,0.0298,0.096,3.12e-05,0.287,0.964,132.524,4,1975,"Pop"
"3094",60,"false",0.635,0.795,7,-5.313,1,0.0269,0.0514,3.1e-06,0.0751,0.628,115.23,4,1983,"Rock"
"3099",43,"false",0.75,0.721,11,-2.429,0,0.0729,0.157,0,0.218,0.717,125.021,4,2012,"Pop"
"3103",20,"false",0.208,0.49,7,-4.851,1,0.0362,0.11,0,0.086,0.26,164.341,4,2016,"Both"
"3104",51,"false",0.549,0.874,2,-6.317,1,0.0631,0.0317,0,0.101,0.498,128.692,4,1989,"Both"
"3106",53,"false",0.15,0.454,9,-7.635,1,0.0343,0.0398,0.0186,0.158,0.105,83.746,4,2000,"Rock"
"3107",40,"false",0.844,0.794,1,-3.362,1,0.0463,0.0943,0.000198,0.0442,0.75,115.016,4,2014,"Pop"
"3108",35,"false",0.527,0.622,7,-6.797,1,0.0297,0.0621,3.89e-05,0.12,0.335,78.003,4,2003,"Both"
