"","Popularity","Explicit","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time.Signature","Release.Year","genreSimplified"
"63",40,"false",0.796,0.867,2,-10.568,1,0.037,0.0742,0.00195,0.226,0.881,114.87,4,1992,"Rock"
"64",16,"false",0.61,0.78,2,-9.393,1,0.0316,0.0212,0,0.309,0.841,109.856,4,2003,"Both"
"65",75,"false",0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,4,2016,"Pop"
"67",70,"false",0.671,0.771,7,-4.821,0,0.0316,0.00492,7.28e-06,0.354,0.436,90.003,4,2013,"Pop"
"69",78,"true",0.353,0.898,2,-5.877,1,0.052,2.23e-05,0.105,0.39,0.525,103.299,4,1998,"Rock"
"70",2,"false",0.449,0.95,9,-6.473,1,0.0886,0.359,0.00325,0.661,0.878,157.736,4,1964,"Pop"
"71",62,"false",0.675,0.61,1,-13.811,1,0.085,0.0852,0.0188,0.159,0.344,131.037,4,1980,"Pop"
"72",28,"false",0.286,0.66,7,-13.243,1,0.0617,0.112,0.197,0.1,0.66,92.113,4,1998,"Pop"
"73",81,"false",0.851,0.806,4,-4.618,1,0.0787,0.119,1.72e-06,0.121,0.774,119.001,4,2008,"Pop"
"74",18,"false",0.567,0.72,1,-6.227,1,0.0504,0.00189,0,0.0829,0.241,176.015,4,2012,"Pop"
"76",64,"true",0.662,0.908,1,-4.764,0,0.0449,0.0506,0,0.0508,0.967,149.941,4,2002,"Pop"
"77",67,"true",0.713,0.746,0,-4.99,1,0.259,0.0402,0,0.601,0.47,135.021,4,2008,"Pop"
"78",51,"false",0.653,0.976,11,-5.173,0,0.0797,0.0374,0.00173,0.561,0.447,105.575,4,1993,"Pop"
"79",15,"false",0.713,0.626,4,-2.891,0,0.124,0.111,0,0.126,0.39,158.08,4,2019,"Pop"
"81",49,"false",0.636,0.946,10,-4.683,0,0.332,0.115,3.75e-05,0.0416,0.891,125.085,5,2008,"Pop"
"82",42,"false",0.506,0.761,11,-5.603,1,0.0973,0.0122,6.87e-06,0.086,0.491,132.436,4,2005,"Rock"
"84",57,"false",0.591,0.651,0,-12.882,1,0.0424,0.42,1.94e-06,0.129,0.824,132.538,4,1984,"Both"
"85",3,"false",0.593,0.783,10,-4.716,1,0.0358,0.0165,7.26e-05,0.167,0.646,141.345,4,1976,"Rock"
"87",18,"false",0.61,0.659,7,-3.972,1,0.0295,0.0242,0,0.0664,0.345,97.001,4,2015,"Pop"
"89",51,"false",0.825,0.689,7,-10.808,1,0.106,0.0369,0.0466,0.121,0.965,150.122,4,1979,"Rock"
"90",41,"false",0.887,0.66,11,-6.116,1,0.0419,0.0486,1.14e-06,0.123,0.693,112.01,4,2008,"Pop"
"91",52,"false",0.704,0.828,5,-7.304,0,0.0514,0.11,0,0.747,0.866,133.496,4,1989,"Both"
"93",74,"false",0.775,0.585,10,-9.516,0,0.0271,0.0422,0.619,0.077,0.518,109.942,4,2013,"Rock"
"96",56,"false",0.613,0.778,10,-3.933,0,0.0689,0.0985,0,0.356,0.626,129.483,4,2009,"Pop"
"97",25,"false",0.228,0.942,7,-4.602,1,0.0442,0.00657,0,0.176,0.942,203.898,4,1999,"Rock"
"99",50,"false",0.843,0.959,6,-4.933,0,0.0914,0.0913,0,0.408,0.923,135.988,4,1996,"Other"
"100",34,"false",0.584,0.734,8,-5.033,1,0.0323,0.0129,0,0.147,0.481,127.044,4,2014,"Pop"
"101",3,"false",0.557,0.791,0,-7.201,1,0.0389,0.0254,0.000269,0.0603,0.89,122.337,4,2009,"Pop"
"102",52,"false",0.379,0.664,11,-6.863,1,0.0307,0.0167,0.000679,0.0915,0.301,115.272,4,2007,"Other"
"103",58,"false",0.542,0.787,2,-4.618,0,0.0331,0.0167,0,0.157,0.2,112.999,4,2018,"Pop"
"106",79,"false",0.777,0.658,0,-5.191,1,0.054,0.0767,0,0.0901,0.633,110.048,4,2019,"Pop"
"108",62,"false",0.646,0.809,1,-3.99,0,0.0282,0.0854,0,0.0806,0.588,139.2,4,1983,"Both"
"109",44,"false",0.701,0.605,0,-6.024,1,0.0297,0.653,0,0.0753,0.505,106.968,4,2017,"Other"
"110",72,"false",0.774,0.75,11,-4.927,0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015,4,2003,"Both"
"111",52,"false",0.399,0.708,0,-10.541,0,0.0387,0.118,0,0.179,0.688,207.424,4,1989,"Rock"
"112",42,"false",0.647,0.843,2,-4.801,1,0.0364,0.0192,0.686,0.104,0.328,128.015,4,2012,"Other"
"113",80,"false",0.4,0.915,0,-4.89,1,0.279,0.083,0,0.0503,0.871,89.006,3,2010,"Pop"
"115",34,"false",0.674,0.844,0,-7.473,1,0.0727,0.116,0.00524,0.0805,0.595,107.888,4,2017,"Rock"
"117",54,"false",0.672,0.642,5,-4.035,1,0.0313,0.0981,0,0.1,0.494,121.981,4,2020,"Pop"
"118",9,"false",0.611,0.583,1,-8.529,1,0.316,0.113,3.41e-05,0.125,0.263,114.967,4,2017,"Pop"
"121",20,"false",0.416,0.559,0,-5.787,1,0.0267,0.00341,0,0.2,0.282,168.142,4,2006,"Pop"
"122",61,"false",0.789,0.813,5,-4.563,1,0.0374,0.0294,2.07e-06,0.519,0.42,116.007,4,2020,"Pop"
"128",49,"false",0.64,0.683,2,-4.309,1,0.0434,0.169,0,0.109,0.4,146.058,4,2020,"Pop"
"130",28,"false",0.536,0.941,11,-3.8,0,0.117,0.0082,0,0.246,0.799,148.06,4,2014,"Other"
"132",56,"false",0.708,0.567,10,-15.539,0,0.0355,0.07,0.00105,0.152,0.955,103.606,4,1990,"Rock"
